distid,schoolid_stateassigned,distname,schoolname,enroll_raw_TX,pp_stloc_raw_TX
43901,43901001,ALLEN ISD,ALLEN H S,5098,7925.495865
43901,43901102,ALLEN ISD,ALTON BOYD EL,631,10402.04442
43901,43901105,ALLEN ISD,ALVIS C STORY EL,495,10274.77327
43901,43901117,ALLEN ISD,BEVERLY CHEATHAM EL,611,8321.140354
43901,43901110,ALLEN ISD,BOLIN EL,552,9173.035053
43901,43901114,ALLEN ISD,CARLENA CHANDLER EL,653,8833.4734
43901,43901003,ALLEN ISD,COLLIN CO J J A E P,NRD,NRD
43901,43901101,ALLEN ISD,D L ROUNTREE EL,639,9758.509138
43901,43901116,ALLEN ISD,DAVID AND LYNDA OLSON EL,607,8832.863429
43901,43901113,ALLEN ISD,DR E T BOON EL,709,8320.455989
43901,43901044,ALLEN ISD,ERECKSON MIDDLE,1241,7896.881847
43901,43901107,ALLEN ISD,FLOSSIE FLOYD GREEN EL,622,8636.063194
43901,43901108,ALLEN ISD,FRANCES E NORTON EL,495,9223.635898
43901,43901104,ALLEN ISD,GENE M REED EL,583,8898.705271
43901,43901109,ALLEN ISD,GEORGE J ANDERSON EL,470,9771.02857
43901,43901112,ALLEN ISD,JAMES AND MARGIE MARION EL,681,8144.911473
43901,43901119,ALLEN ISD,JENNY PRESTON EL,531,8916.010663
43901,43901111,ALLEN ISD,KERR EL,704,8215.734699
43901,43901118,ALLEN ISD,LOIS LINDSEY EL,749,7631.580565
43901,43901002,ALLEN ISD,LOWERY FRESHMAN CENTER,1728,8168.619694
43901,43901115,ALLEN ISD,MARY EVANS EL,696,8271.361952
43901,43901106,ALLEN ISD,MAX O VAUGHAN EL,718,8025.428996
43901,43901004,ALLEN ISD,PAT DILLARD SPECIAL ACHIEVEMENT CENTER,NRD,NRD
43901,43901042,ALLEN ISD,W E PETE FORD MIDDLE,925,8354.949892
43901,43901043,ALLEN ISD,WALTER & LOIS CURTIS MIDDLE,1345,7849.192858
22901,22901101,ALPINE ISD,ALPINE EL,386,9555.988589
22901,22901001,ALPINE ISD,ALPINE H S,311,13851.95403
22901,22901041,ALPINE ISD,ALPINE MIDDLE,311,9843.812548
37901,37901101,ALTO ISD,ALTO EL,271,8077.753262
37901,37901001,ALTO ISD,ALTO H S,192,11795.7239
37901,37901041,ALTO ISD,ALTO MIDDLE,201,7668.342677
126901,126901102,ALVARADO ISD,ALVARADO EL-NORTH,367,8876.397991
126901,126901101,ALVARADO ISD,ALVARADO EL-SOUTH,352,8732.555456
126901,126901001,ALVARADO ISD,ALVARADO H S,1105,8995.594509
126901,126901104,ALVARADO ISD,ALVARADO INT,854,7687.454873
126901,126901041,ALVARADO ISD,ALVARADO J H,584,7035.246069
126901,126901003,ALVARADO ISD,JUVENILE JUSTICE ALTERNATIVE,NRD,NRD
126901,126901103,ALVARADO ISD,LILLIAN EL,363,9657.992612
