CEID,distname,SiteID,schoolname,distid,CECounty,SiteCounty,SiteISP
90,NORTHSIDE ISD-SAN ANTONIO,107,MARY LOU FISHER EL,15915,BEXAR,BEXAR,40.43
90,NORTHSIDE ISD-SAN ANTONIO,52,JOHN B CONNALLY MIDDLE,15915,BEXAR,BEXAR,29.66
90,NORTHSIDE ISD-SAN ANTONIO,51,JACK C JORDAN MIDDLE,15915,BEXAR,BEXAR,33.03
90,NORTHSIDE ISD-SAN ANTONIO,135,EDMUND CODY EL,15915,BEXAR,BEXAR,53.86
90,NORTHSIDE ISD-SAN ANTONIO,162,MARY MICHAEL EL,15915,BEXAR,BEXAR,45.05
90,NORTHSIDE ISD-SAN ANTONIO,118,OAK HILLS TERRACE EL,15915,BEXAR,BEXAR,47.81
90,NORTHSIDE ISD-SAN ANTONIO,23,LOUIS D. BRANDEIS H. S.,15915,BEXAR,BEXAR,13.96
90,NORTHSIDE ISD-SAN ANTONIO,152,LEON SPRINGS EL,15915,BEXAR,BEXAR,11.83
90,NORTHSIDE ISD-SAN ANTONIO,230,DR. SARA B. MCANDREWS,15915,BEXAR,BEXAR,3.33
90,NORTHSIDE ISD-SAN ANTONIO,184,HATCHETT ELEMENTARY,15915,BEXAR,BEXAR,45.67
90,NORTHSIDE ISD-SAN ANTONIO,143,SCOBEE EL,15915,BEXAR,BEXAR,26.89
90,NORTHSIDE ISD-SAN ANTONIO,223,KALLISON EL,15915,BEXAR,BEXAR,11.68
90,NORTHSIDE ISD-SAN ANTONIO,114,WESTWOOD TERRACE EL,15915,BEXAR,BEXAR,75.31
90,NORTHSIDE ISD-SAN ANTONIO,42,RAYBURN MIDDLE,15915,BEXAR,BEXAR,54.7
90,NORTHSIDE ISD-SAN ANTONIO,188,HOFFMAN ES,15915,BEXAR,BEXAR,13.25
90,NORTHSIDE ISD-SAN ANTONIO,62,NAMS - NORTH,15915,BEXAR,BEXAR,69.07
90,NORTHSIDE ISD-SAN ANTONIO,6,HEALTH CAREERS H S,15915,BEXAR,BEXAR,10.45
90,NORTHSIDE ISD-SAN ANTONIO,46,E M PEASE MIDDLE,15915,BEXAR,BEXAR,45.67
90,NORTHSIDE ISD-SAN ANTONIO,108,LEON VALLEY EL,15915,BEXAR,BEXAR,49.11
90,NORTHSIDE ISD-SAN ANTONIO,2,JAY H S,15915,BEXAR,BEXAR,42.53
90,NORTHSIDE ISD-SAN ANTONIO,168,LEWIS EL,15915,BEXAR,BEXAR,23.34
90,NORTHSIDE ISD-SAN ANTONIO,57,GARCIA M S,15915,BEXAR,BEXAR,7.36
90,NORTHSIDE ISD-SAN ANTONIO,178,AUE ELEMENTARY SCHOOL,15915,BEXAR,BEXAR,6.2
90,NORTHSIDE ISD-SAN ANTONIO,125,MURRAY E BOONE EL,15915,BEXAR,BEXAR,51
90,NORTHSIDE ISD-SAN ANTONIO,156,CHRISTIAN EVERS EL,15915,BEXAR,BEXAR,27.64
90,NORTHSIDE ISD-SAN ANTONIO,128,CARLOS COON EL,15915,BEXAR,BEXAR,49.48
90,NORTHSIDE ISD-SAN ANTONIO,228,COLE EL,15915,BEXAR,BEXAR,14.46
90,NORTHSIDE ISD-SAN ANTONIO,179,EVELYN SCARBOROUGH ELEM,15915,BEXAR,BEXAR,21.07
90,NORTHSIDE ISD-SAN ANTONIO,53,RAWLINSON MIDDLE SCHOOL,15915,BEXAR,BEXAR,22
90,NORTHSIDE ISD-SAN ANTONIO,48,RUDDER MIDDLE,15915,BEXAR,BEXAR,43.71
90,NORTHSIDE ISD-SAN ANTONIO,134,BRAUN STATION EL,15915,BEXAR,BEXAR,24.32
90,NORTHSIDE ISD-SAN ANTONIO,161,HENRY STEUBING EL,15915,BEXAR,BEXAR,21.51
90,NORTHSIDE ISD-SAN ANTONIO,224,MORA EL,15915,BEXAR,BEXAR,
90,NORTHSIDE ISD-SAN ANTONIO,183,WARD ELEMENTARY,15915,BEXAR,BEXAR,27.47
90,NORTHSIDE ISD-SAN ANTONIO,113,VALLEY HI EL,15915,BEXAR,BEXAR,59.6
90,NORTHSIDE ISD-SAN ANTONIO,24,BRENNAN HS,15915,BEXAR,BEXAR,16.44
90,NORTHSIDE ISD-SAN ANTONIO,13,VOC TRANSITION PROG,15915,BEXAR,BEXAR,23
90,NORTHSIDE ISD-SAN ANTONIO,141,NORA FORESTER ELEM,15915,BEXAR,BEXAR,26.33
90,NORTHSIDE ISD-SAN ANTONIO,167,RABA EL,15915,BEXAR,BEXAR,26.13
90,NORTHSIDE ISD-SAN ANTONIO,104,HELOTES EL,15915,BEXAR,BEXAR,10.68
90,NORTHSIDE ISD-SAN ANTONIO,60,BERNAL MS,15915,BEXAR,BEXAR,13.6
90,NORTHSIDE ISD-SAN ANTONIO,157,"MONROE S MAY, JR EL",15915,BEXAR,BEXAR,21.71
90,NORTHSIDE ISD-SAN ANTONIO,193,KAY FRANKLIN,15915,BEXAR,BEXAR,18.77
90,NORTHSIDE ISD-SAN ANTONIO,45,WILLIAM HOBBY MIDDLE,15915,BEXAR,BEXAR,42.26
90,NORTHSIDE ISD-SAN ANTONIO,109,LOCKE HILL EL,15915,BEXAR,BEXAR,36.75
90,NORTHSIDE ISD-SAN ANTONIO,187,LANGLEY ES,15915,BEXAR,BEXAR,15.78
90,NORTHSIDE ISD-SAN ANTONIO,117,MEADOW VILLAGE EL,15915,BEXAR,BEXAR,63.82
90,NORTHSIDE ISD-SAN ANTONIO,5,TOM CLARK H S,15915,BEXAR,BEXAR,22.37
90,NORTHSIDE ISD-SAN ANTONIO,56,ROBERT L VALE M. S.,15915,BEXAR,BEXAR,28.79
