,distid_nerds,schoolid_stateassigned,distname_nerds,schoolname_nerds,enroll_raw_TX,pp_stloc_raw_TX,CEID,distname_ed,SiteID,schoolname_ed,distid_ed,CECounty,SiteCounty,SiteISP,school_id
69,15904.0,15904113,HARLANDALE ISD,VESTAL EL,429,9880.042536,79,HARLANDALE ISD,113,VESTAL EL,15904,BEXAR,BEXAR,76.82,15904113
70,15904.0,15904001,HARLANDALE ISD,HARLANDALE H S,1817,9990.272326,79,HARLANDALE ISD,1,HARLANDALE H S,15904,BEXAR,BEXAR,50.03,15904001
71,15904.0,15904101,HARLANDALE ISD,CARROLL BELL EL,488,9047.974349,79,HARLANDALE ISD,101,CARROLL BELL EL,15904,BEXAR,BEXAR,64.17,15904101
72,15904.0,15904115,HARLANDALE ISD,JEWEL C WIETZEL CENTER,27,41217.40824,79,HARLANDALE ISD,115,JEWEL C. WIETZEL CENTER,15904,BEXAR,BEXAR,22.22,15904115
73,15904.0,15904044,HARLANDALE ISD,KINGSBOROUGH MIDDLE,654,10132.95072,79,HARLANDALE ISD,44,KINGSBOROUGH MIDDLE,15904,BEXAR,BEXAR,55.18,15904044
74,15904.0,15904041,HARLANDALE ISD,HARLANDALE MIDDLE,837,9622.894505,79,HARLANDALE ISD,41,HARLANDALE MIDDLE,15904,BEXAR,BEXAR,64.12,15904041
75,15904.0,15904106,HARLANDALE ISD,V M ADAMS EL,741,8911.65056,79,HARLANDALE ISD,106,V M ADAMS EL,15904,BEXAR,BEXAR,75.32,15904106
76,15904.0,15904004,HARLANDALE ISD,FRANK M TEJEDA ACADEMY,149,19577.07143,79,HARLANDALE ISD,4,FRANK M TEJEDA ACADEMY,15904,BEXAR,BEXAR,62.82,15904004
77,15904.0,15904110,HARLANDALE ISD,RAYBURN EL,420,9634.854541,79,HARLANDALE ISD,110,RAYBURN EL,15904,BEXAR,BEXAR,71.13,15904110
78,15904.0,15904002,HARLANDALE ISD,MCCOLLUM H S,1525,10697.31066,79,HARLANDALE ISD,2,MCCOLLUM H S,15904,BEXAR,BEXAR,46.36,15904002
79,15904.0,15904116,HARLANDALE ISD,E H GILBERT EL,559,8995.213187,79,HARLANDALE ISD,116,E H GILBERT EL,15904,BEXAR,BEXAR,82.86,15904116
80,15904.0,15904102,HARLANDALE ISD,BELLAIRE EL,618,9371.453732,79,HARLANDALE ISD,102,BELLAIRE EL,15904,BEXAR,BEXAR,69.33,15904102
81,15904.0,15904045,HARLANDALE ISD,HAC DAEP MIDDLE,NRD,NRD,79,HARLANDALE ISD,45,HAC DAEP MS,15904,BEXAR,BEXAR,84.38,15904045
82,15904.0,15904011,HARLANDALE ISD,HARLANDALE ISD STEM ECHS-ALAMO COL,359,8130.388849,79,HARLANDALE ISD,11,EARLY COLLEGE HIGH SCHOOL,15904,BEXAR,BEXAR,37.54,15904011
83,15904.0,15904109,HARLANDALE ISD,MORRILL EL,441,9322.645584,79,HARLANDALE ISD,109,MORRILL EL,15904,BEXAR,BEXAR,68.87,15904109
84,15904.0,15904003,HARLANDALE ISD,HAC DAEP H S,15,123294.1045,79,HARLANDALE ISD,3,HAC DAEP H S,15904,BEXAR,BEXAR,66.67,15904003
85,15904.0,15904105,HARLANDALE ISD,STONEWALL/FLANDERS EL,715,9504.127384,79,HARLANDALE ISD,105,STONEWALL/FLANDERS ELEMENTARY,15904,BEXAR,BEXAR,79.76,15904105
86,15904.0,15904117,HARLANDALE ISD,COLLIER DAEP,NRD,NRD,79,HARLANDALE ISD,117,COLLIER DAEP,15904,BEXAR,BEXAR,50.0,15904117
87,15916.0,15916102,JUDSON ISD,HOPKINS EL,741,7270.318266,91,JUDSON ISD,102,HOPKINS EL,15916,BEXAR,BEXAR,64.26,15916102
88,15916.0,15916114,JUDSON ISD,WILLIAM PASCHALL EL,620,7727.581043,91,JUDSON ISD,114,WILLIAM PASCHALL ELEMENTARY,15916,BEXAR,BEXAR,57.66,15916114
89,15916.0,15916123,JUDSON ISD,ESCONDIDO EL,449,8147.035584,91,JUDSON ISD,123,ESCONDIDO EL,15916,BEXAR,BEXAR,,15916123
90,15916.0,15916041,JUDSON ISD,KIRBY MIDDLE,723,9278.433015,91,JUDSON ISD,41,KIRBY MIDDLE,15916,BEXAR,BEXAR,62.86,15916041
91,15916.0,15916003,JUDSON ISD,JUDSON LEARNING ACAD,85,8800.200683,91,JUDSON ISD,3,JUDSON LEARNING ACADEMY,15916,BEXAR,BEXAR,48.28,15916003
92,15916.0,15916106,JUDSON ISD,CRESTVIEW EL,567,8021.901419,91,JUDSON ISD,106,CRESTVIEW EL,15916,BEXAR,BEXAR,40.65,15916106
93,15916.0,15916119,JUDSON ISD,COPPERFIELD EL,709,6843.332749,91,JUDSON ISD,119,COPPERFIELD EL,15916,BEXAR,BEXAR,38.49,15916119
94,15916.0,15916101,JUDSON ISD,CONVERSE EL,529,7624.841715,91,JUDSON ISD,101,CONVERSE EL,15916,BEXAR,BEXAR,47.06,15916101
95,15916.0,15916115,JUDSON ISD,MARY LOU HARTMAN,725,7379.931555,91,JUDSON ISD,115,MARY LOU HARTMAN ELEMENTARY,15916,BEXAR,BEXAR,46.37,15916115
96,15916.0,15916042,JUDSON ISD,KITTY HAWK MIDDLE,1353,7309.746381,91,JUDSON ISD,42,KITTY HAWK MIDDLE,15916,BEXAR,BEXAR,32.52,15916042
97,15916.0,15916111,JUDSON ISD,MILLER POINT EL,556,7959.301106,91,JUDSON ISD,111,MILLER POINT EL,15916,BEXAR,BEXAR,49.2,15916111
98,15916.0,15916008,JUDSON ISD,KAREN WAGNER H S,2137,8704.896254,91,JUDSON ISD,8,WAGNER HIGH SCHOOL,15916,BEXAR,BEXAR,43.23,15916008
99,15916.0,15916001,JUDSON ISD,JUDSON H S,2712,8209.073978,91,JUDSON ISD,1,JUDSON HIGH SCHOOL,15916,BEXAR,BEXAR,29.6,15916001
100,15916.0,15916118,JUDSON ISD,ROLLING MEADOWS EL,728,7192.159118,91,JUDSON ISD,118,ROLLING MEADOWS ELEMENTARY,15916,BEXAR,BEXAR,24.03,15916118
101,15916.0,15916105,JUDSON ISD,PARK VILLAGE EL,490,8388.586277,91,JUDSON ISD,105,PARK VILLAGE EL,15916,BEXAR,BEXAR,79.76,15916105
102,15916.0,15916104,JUDSON ISD,CORONADO VILLAGE EL,362,9436.142574,91,JUDSON ISD,104,CORONADO VILLAGE EL,15916,BEXAR,BEXAR,43.26,15916104
103,15916.0,15916116,JUDSON ISD,RICARDO SALINAS EL,674,7093.981517,91,JUDSON ISD,116,RICARDO SALINAS ELEMENTARY,15916,BEXAR,BEXAR,38.63,15916116
104,15916.0,15916109,JUDSON ISD,OLYMPIA EL,403,8752.314914,91,JUDSON ISD,109,OLYMPIA EL,15916,BEXAR,BEXAR,33.93,15916109
105,15916.0,15916110,JUDSON ISD,SPRING MEADOWS EL,605,8217.099078,91,JUDSON ISD,110,SPRING MEADOWS EL,15916,BEXAR,BEXAR,49.09,15916110
106,15916.0,15916043,JUDSON ISD,WOODLAKE HILLS MIDDLE,823,8532.08801,91,JUDSON ISD,43,WOODLAKE HILLS MIDDLE,15916,BEXAR,BEXAR,48.96,15916043
107,15916.0,15916009,JUDSON ISD,JUDSON EARLY COLLEGE ACADEMY,481,6300.70456,91,JUDSON ISD,9,JUDSON EARLY COLLEGE ACADEMY,15916,BEXAR,BEXAR,18.34,15916009
108,15916.0,15916112,JUDSON ISD,CANDLEWOOD EL,626,7390.033816,91,JUDSON ISD,112,CANDLEWOOD EL,15916,BEXAR,BEXAR,66.4,15916112
109,15916.0,15916117,JUDSON ISD,JAMES L MASTERS,371,8802.940686,91,JUDSON ISD,117,JAMES L. MASTERS ELEMENTARY,15916,BEXAR,BEXAR,38.95,15916117
110,15916.0,15916044,JUDSON ISD,HENRY METZGER MIDDLE,983,7616.631752,91,JUDSON ISD,44,METZGER MIDDLE SCHOOL,15916,BEXAR,BEXAR,49.14,15916044
111,15916.0,15916124,JUDSON ISD,WORTHAM OAKS EL,279,10460.47262,91,JUDSON ISD,124,Wortham Oaks Elementary,15916,BEXAR,BEXAR,,15916124
112,15916.0,15916103,JUDSON ISD,ED FRANZ EL,404,8234.31204,91,JUDSON ISD,103,ED FRANZ EL,15916,BEXAR,BEXAR,52.37,15916103
113,15916.0,15916107,JUDSON ISD,WOODLAKE EL,573,7525.972123,91,JUDSON ISD,107,WOODLAKE EL,15916,BEXAR,BEXAR,53.33,15916107
114,15916.0,15916005,JUDSON ISD,JUDSON CARE ACADEMY,65,46722.70747,91,JUDSON ISD,5,ALTER SCH,15916,BEXAR,BEXAR,64.81,15916005
115,15916.0,15916045,JUDSON ISD,JUDSON MIDDLE,1245,7372.920692,91,JUDSON ISD,45,JUDSON MIDDLE SCHOOL,15916,BEXAR,BEXAR,37.22,15916045
116,15916.0,15916113,JUDSON ISD,ELOLF EL,494,7844.086822,91,JUDSON ISD,113,ELOLF EL,15916,BEXAR,BEXAR,51.07,15916113
117,15916.0,15916010,JUDSON ISD,VETERANS MEMORIAL H S,1333,8822.563226,91,JUDSON ISD,10,VETERANS MEMORIAL H S,15916,BEXAR,BEXAR,27.61,15916010
